AUD-005487,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_1-54505-A-21.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\label_audit\Background Noise\esc50_1-54505-A-21.wav,delete
AUD-005544,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_2-117616-A-48.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Gunshot\esc50_2-117616-A-48.wav,move:Gunshot
AUD-005607,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_2-79775-A-26.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\label_audit\Background Noise\esc50_2-79775-A-26.wav,delete
AUD-005611,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_2-81190-A-34.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\label_audit\Background Noise\esc50_2-81190-A-34.wav,delete
AUD-000693,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\esc50_5-211408-A-37.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Alarm or Siren\esc50_5-211408-A-37_dup.wav,move:Alarm or Siren
AUD-000605,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-breaking-94894.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-breaking-94894_dup.mp3,move:Glass Breaking
AUD-005639,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_3-110536-A-26.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_3-110536-A-26_dup.wav,move:Background Noise
AUD-005678,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Background Noise\esc50_3-147342-A-34.wav,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\label_audit\Background Noise\esc50_3-147342-A-34.wav,delete
AUD-005073,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_113_00171.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_113_00171_dup.wav,move:Aggression
AUD-005081,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_121_00613.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_121_00613_dup.wav,move:Aggression
AUD-005153,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_182_00392.wav,C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Aggression\vsd_angry_182_00392_dup.wav,move:Aggression
